                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 2.4275,                  3.146,                 2.9683,                0.34527,                 0.3017,                 0.2231,                0.07592,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                 2.3314,                 3.0688,                 2.9176,                0.31219,                0.28571,                 0.2284,                 0.0796,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                 2.3832,                 3.2252,                 2.9911,                0.45416,                0.28571,                0.28945,                0.09939,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 2.2935,                 3.0698,                 2.9598,                0.46099,                0.39286,                0.29248,                  0.106,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                 2.2906,                 2.9435,                 2.9418,                0.50083,                0.39286,                0.33956,                0.11169,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                 2.2118,                 2.9265,                 2.8961,                0.38198,                0.35714,                 0.2905,                0.10915,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                 2.1359,                  2.907,                 2.8716,                 0.3466,                0.35714,                0.28913,                0.12094,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                 2.1807,                 2.8737,                 2.8589,                0.45068,                0.35183,                0.32169,                0.11473,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                 2.1643,                 2.8167,                 2.8609,                 0.5095,                0.33432,                0.36794,                0.12678,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                  2.137,                 2.8341,                 2.8464,                0.65326,                0.33703,                0.44957,                0.16361,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                 2.1144,                 2.7643,                 2.8312,                0.74311,                0.41382,                0.48397,                0.17092,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                 2.1008,                  2.763,                 2.8365,                0.70095,                0.42857,                0.45355,                0.16241,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
